id,name,alias,type,sex,lineage_scope,birth_year,death_year,traditional_life_years,date_quality,date_quality_detail,date_note,display_note,note
t025,25 武烈天皇,小泊瀬稚鷦鷯尊,tenno,male,imperial,,,489?–506,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth,『日本書紀』系の伝承年譜。生年は仁賢天皇2年からの換算,仁賢天皇皇子・皇子女なし,仁賢天皇皇子・皇子女なし・仁徳天皇の男系血統はここで途絶える
p_tashiraka,手白香皇女,手白髪郎女,princess,female,imperial,,,,U_undated,historical_period_known;genealogical_tradition,生没年不詳。人物辞典では6世紀前半の人物。仁賢天皇皇女・継体天皇皇后・欽明天皇の母とされる。,仁賢天皇皇女,仁賢天皇皇女
u_keitai_tashiraka,,,marriage,,,,,,,,,継体・手白香の婚姻等関係節点,継体・手白香の婚姻等関係節点
t027,27 安閑天皇,勾大兄広国押武金日尊,tenno,male,imperial,,,466?–536?,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;disputed_death_t,『日本書紀』系の伝承紀年。生没年・在位期間には諸説,継体天皇第一皇子,継体天皇第一皇子
t028,28 宣化天皇,桧隈高田皇子,tenno,male,imperial,,,467?–539?,T_traditional,nihon_shoki_based;chronology_conversion;uncertain_birth;disputed_death_t,『日本書紀』系の伝承紀年。辞典では生没年不詳とするものもある,継体天皇第二皇子,継体天皇第二皇子
t029,29 欽明天皇,天国排開広庭天皇,tenno,male,imperial,510,571,,B_partial_or_disputed,disputed_birth,Kotobank『欽明天皇』は510–571。509年説もあるため典拠差に注意,継体天皇・手白香皇女皇子,継体天皇・手白香皇女皇子
p_sakurai,桜井皇子,,prince,male,imperial,,,,U_undated,historical_period_known;genealogical_tradition,6世紀の皇族。欽明天皇と蘇我堅塩媛の皇子で、吉備姫王の父。生没年不詳。『古事記』では桜井之玄王と記す。,欽明天皇皇子・吉備姫王の父,欽明天皇皇子・吉備姫王の父
p_kibihime,吉備姫王,吉備嶋皇祖母命,princess,female,imperial,,643,,B_partial_or_disputed,birth_unrecorded,飛鳥時代の皇族。桜井皇子の王女で、茅渟王との間に皇極・斉明天皇と孝徳天皇をもうけた。皇極2年（643）9月11日死去。生年不詳。,桜井皇子王女・皇極・孝徳天皇の母,桜井皇子王女・茅渟王妃・皇極・斉明天皇および孝徳天皇の母
u_chinu_kibihime,,,marriage,,,,,,,,,茅渟王・吉備姫王の婚姻等関係節点,茅渟王・吉備姫王の婚姻等関係節点
p_ishihime,石姫皇女,石比売命,princess,female,imperial,,,,U_undated,historical_period_known;chronicle_activity_only;genealogical_tradition,6世紀の皇族。宣化天皇皇女で欽明天皇皇后、敏達天皇の母。敏達元年（572）に皇太后となる。生没年不詳。,宣化天皇皇女・欽明天皇皇后・敏達天皇の母,宣化天皇皇女・欽明天皇皇后・敏達天皇の母
u_kinmei_ishihime,,,marriage,,,,,,,,,欽明天皇・石姫皇女の婚姻等関係節点,欽明天皇・石姫皇女の婚姻等関係節点
t030,30 敏達天皇,訳語田渟中倉太珠敷尊,tenno,male,imperial,,585,,B_partial_or_disputed,birth_unrecorded,Kotobank『敏達天皇』：生年不詳・没年585,欽明天皇第二皇子,欽明天皇第二皇子
t031,31 用明天皇,橘豊日尊,tenno,male,imperial,,587,,B_partial_or_disputed,birth_unrecorded,Kotobank『用明天皇』：生年不詳・没年587,欽明天皇第四皇子（聖徳太子の父）,欽明天皇第四皇子（聖徳太子の父）
t032,32 崇峻天皇,泊瀬部皇子,tenno,male,imperial,,592,,B_partial_or_disputed,birth_unrecorded,Kotobank『崇峻天皇』：生年不詳・没年592,欽明天皇第十二皇子,欽明天皇第十二皇子（蘇我馬子に暗殺される）
t033,33 推古天皇,額田部皇女,female_tenno,female,imperial,554,628,,A_standard,,Kotobank『推古天皇』：554–628,最初の女性天皇・欽明天皇皇女,最初の女性天皇・欽明天皇皇女
p_oshisaka,押坂彦人大兄皇子,忍坂日子人太子・麻呂古王,prince,male,imperial,,,,U_undated,historical_period_known;genealogical_tradition;source_conflict_uncertain,6世紀後半頃の皇族。敏達天皇皇子で、舒明天皇の父。生没年不詳。用明天皇没後の皇位継承をめぐる情勢に関わったとされ、没時期についても諸説がある。,敏達天皇第一皇子（舒明天皇・茅渟王の父）,敏達天皇第一皇子（舒明天皇・茅渟王の父）
p_nukatehime,糠手姫皇女,田村皇女,princess,female,imperial,,664,,B_partial_or_disputed,birth_unrecorded,飛鳥時代の皇族。敏達天皇皇女で、押坂彦人大兄皇子の妃、舒明天皇の母。天智3年（664）6月死去。生年不詳。,敏達天皇皇女・舒明天皇の母,敏達天皇皇女・押坂彦人大兄皇子妃・舒明天皇の母
u_oshisaka_nukatehime,,,marriage,,,,,,,,,押坂彦人大兄皇子・糠手姫皇女の婚姻等関係節点,押坂彦人大兄皇子・糠手姫皇女の婚姻等関係節点
p_chinu,茅渟王,知奴王,prince,male,imperial,,,,U_undated,historical_period_known;genealogical_tradition,飛鳥時代前期の皇族。押坂彦人大兄皇子の皇子で、吉備姫王との間に皇極・斉明天皇と孝徳天皇をもうけた。生没年は確定できないため空欄を維持する。,押坂彦人大兄皇子の皇子（皇極・孝徳の父）,押坂彦人大兄皇子の皇子（皇極・孝徳の父）
t034,34 舒明天皇,息長足日広額天皇,tenno,male,imperial,,641,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『舒明天皇』：593?–641。生年に疑問符があるためbirth_yearは不詳扱い,押坂彦人大兄皇子の皇子,押坂彦人大兄皇子の皇子
t035t037,35・37 皇極・斉明天皇,宝皇女,female_tenno,female,imperial,,661,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『皇極天皇』：594?–661。重祚して斉明天皇,重祚・敏達天皇曽孫,重祚（敏達天皇の曽孫・男系女子として即位）
u_jomei_kogyoku,,,marriage,,,,,,,,,舒明・皇極の婚姻等関係節点,舒明・皇極の婚姻等関係節点
t036,36 孝徳天皇,軽皇子,tenno,male,imperial,,654,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『孝徳天皇』：597?–654。生年に疑問符があるためbirth_yearは不詳扱い,大化改新期の天皇・皇極天皇同母弟,大化改新期の天皇・皇極天皇同母弟
t038,38 天智天皇,中大兄皇子,tenno,male,imperial,626,671,,A_standard,,Kotobank『天智天皇』：626–671,舒明天皇・皇極天皇第二皇子,舒明天皇・皇極天皇第二皇子
t039,39 弘文天皇,大友皇子,tenno,male,imperial,648,672,,A_standard,,Kotobank『大友皇子』：648–672。後世に弘文天皇と追号,天智天皇第一皇子（壬申の乱で敗死）,天智天皇第一皇子（壬申の乱で敗死）
t040,40 天武天皇,大海人皇子,tenno,male,imperial,,686,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『天武天皇』：生年不詳・没年686。631年説は通説だが確定値としない,天智天皇の弟・系譜に異説あり,天智天皇の弟（天智の兄説や非皇統説など異説あり）
t041,41 持統天皇,鸕野讚良皇女,female_tenno,female,imperial,645,702,,A_standard,,Kotobank『持統天皇』：645–702（大化1–大宝2）。大宝2年12月22日は現代暦換算では703年1月だが、本プロジェクトは和暦年対応の西暦年を採用,天智天皇の皇女・天武天皇の皇后,天智天皇の皇女・天武天皇の皇后
u_temmu_jito,,,marriage,,,,,,,,,天武・持統の婚姻等関係節点,天武・持統の婚姻等関係節点
p_toneri,舎人親王,,prince,male,imperial,,735,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『舎人親王』：生年676年説に疑問符があるため不詳扱い,天武天皇皇子・淳仁天皇の父,天武天皇皇子（『日本書紀』の編集を総監・淳仁天皇の父）
p_kusakabe,草壁皇子,岡宮天皇,prince,male,imperial,662,689,,A_standard,,飛鳥時代の皇太子。天武天皇と持統天皇の皇子。681年に皇太子となったが即位せず、持統3年（689）4月13日死去。662–689を通常年代として収録する。,天武と持統の皇子（聖武天皇の祖父）,天武と持統の皇子（聖武天皇の祖父）
t043,43 元明天皇,阿閉皇女,female_tenno,female,imperial,661,721,,A_standard,,Kotobank『元明天皇』,天智天皇皇女・草壁皇子妃,天智天皇皇女・草壁皇子妃（平城京遷都）
u_kusakabe_gemmei,,,marriage,,,,,,,,,草壁皇子・元明天皇の婚姻等関係節点,草壁皇子・元明天皇の婚姻等関係節点
t042,42 文武天皇,軽皇子,tenno,male,imperial,683,707,,A_standard,,Kotobank『文武天皇』,草壁皇子・元明天皇第一皇子（大宝律令）,草壁皇子・元明天皇第一皇子（大宝律令）
t044,44 元正天皇,氷高皇女,female_tenno,female,imperial,680,748,,A_standard,,Kotobank『元正天皇』,草壁皇子・元明天皇皇女・母娘継承,草壁皇子・元明天皇皇女（『日本書紀』完成・男系女子による母娘継承）
t045,45 聖武天皇,首皇子,tenno,male,imperial,701,756,,A_standard,,Kotobank等『聖武天皇』,文武天皇第一皇子・東大寺大仏を建立,文武天皇第一皇子・東大寺大仏を建立
t046t048,46・48 孝謙・称徳天皇,阿倍内親王,female_tenno,female,imperial,718,770,,A_standard,,Kotobank『孝謙天皇／称徳天皇』,重祚・聖武天皇皇女,重祚（聖武天皇皇女・天武系の最後の天皇）
t047,47 淳仁天皇,大炊王,tenno,male,imperial,733,765,,A_standard,,Kotobank『淳仁天皇』,舎人親王第七男子・天武天皇孫,天武天皇の孫（舎人親王の第七子・淡路廃帝）
p_shiki,志貴皇子,春日宮天皇,prince,male,imperial,,716,,B_partial_or_disputed,birth_unrecorded;disputed_death,天智天皇皇子で光仁天皇の父。『万葉集』歌人としても知られる。没年は霊亀2年（716）とする資料が多いが、715年説もあるため異説を注記する。生年不詳。,天智天皇の皇子・光仁天皇の実父,天智天皇の皇子・光仁天皇の実父
t049,49 光仁天皇,白壁王,tenno,male,imperial,709,781,,A_standard,,Kotobank『光仁天皇』：和暦年基準では709–781。現代暦換算では没年782表記もある,天智天皇孫・天智天皇系から即位,天智天皇の孫・天武系から天智系への皇統回帰
t050,50 桓武天皇,山部親王,tenno,male,imperial,737,806,,A_standard,,Kotobank『桓武天皇』,平安京遷都・桓武平氏の祖,平安京遷都・桓武平氏の祖
p_nakano,仲野親王,,prince,male,imperial,792,867,,A_standard,,Kotobank『仲野親王』,桓武天皇皇子・班子女王の父,桓武天皇皇子・班子女王の父
p_hanshi,班子女王,,princess,female,imperial,833,900,,A_standard,,Kotobank『班子女王』,仲野親王王女・光孝天皇妃・宇多天皇の母,仲野親王王女・光孝天皇妃・宇多天皇の母
u_koko_hanshi,,,marriage,,,,,,,,,光孝天皇・班子女王の婚姻等関係節点,光孝天皇・班子女王の婚姻等関係節点
t051,51 平城天皇,安殿親王,tenno,male,imperial,774,824,,A_standard,,Kotobank『平城天皇』,,
t052,52 嵯峨天皇,神野親王,tenno,male,imperial,786,842,,A_standard,,Kotobank『嵯峨天皇』,桓武天皇第二皇子・嵯峨源氏の祖,桓武天皇第二皇子・嵯峨源氏の祖
t053,53 淳和天皇,大伴親王,tenno,male,imperial,786,840,,A_standard,,Kotobank『淳和天皇』,,
t054,54 仁明天皇,正良親王,tenno,male,imperial,810,850,,A_standard,,Kotobank『仁明天皇』,,
t055,55 文徳天皇,道康親王,tenno,male,imperial,827,858,,A_standard,,Kotobank『文徳天皇』,,
t056,56 清和天皇,惟仁親王,tenno,male,imperial,850,880,,A_standard,,Kotobank『清和天皇』,藤原良房が摂政・清和源氏の祖,初の幼少での摂政（藤原良房）・清和源氏の祖
t057,57 陽成天皇,貞明親王,tenno,male,imperial,868,949,,A_standard,,Kotobank『陽成天皇』,,
t058,58 光孝天皇,時康親王,tenno,male,imperial,830,887,,A_standard,,Kotobank『光孝天皇』,,
t059,59 宇多天皇,定省親王,tenno,male,imperial,867,931,,A_standard,,Kotobank『宇多天皇』,寛平の治・臣籍降下から皇籍復帰して即位,寛平の治・臣籍降下から皇籍復帰して即位
t060,60 醍醐天皇,敦仁親王,tenno,male,imperial,885,930,,A_standard,,Kotobank『醍醐天皇』,延喜の治,延喜の治
t061,61 朱雀天皇,寛明親王,tenno,male,imperial,923,952,,A_standard,,Kotobank『朱雀天皇』,,
t062,62 村上天皇,成明親王,tenno,male,imperial,926,967,,A_standard,,Kotobank『村上天皇』,,
t063,63 冷泉天皇,憲平親王,tenno,male,imperial,950,1011,,A_standard,,Kotobank『冷泉天皇』,,
t064,64 円融天皇,守平親王,tenno,male,imperial,959,991,,A_standard,,Kotobank『円融天皇』,,
t065,65 花山天皇,師貞親王,tenno,male,imperial,968,1008,,A_standard,,Kotobank『花山天皇』,,
t066,66 一条天皇,懐仁親王,tenno,male,imperial,980,1011,,A_standard,,Kotobank『一条天皇』,,
t067,67 三条天皇,居貞親王,tenno,male,imperial,976,1017,,A_standard,,Kotobank『三条天皇』,,
p_teishi,禎子内親王,陽明門院,princess,female,imperial,1013,1094,,A_standard,,平安時代中期の皇族。三条天皇第三皇女、後朱雀天皇皇后、後三条天皇の母。院号は陽明門院。1013–1094を通常年代として収録する。,三条天皇第三皇女・後三条天皇の母,三条天皇第三皇女・後朱雀天皇皇后・後三条天皇の母
u_go_suzaku_teishi,,,marriage,,,,,,,,,後朱雀天皇・禎子内親王の婚姻等関係節点,後朱雀天皇・禎子内親王の婚姻等関係節点
t068,68 後一条天皇,敦成親王,tenno,male,imperial,1008,1036,,A_standard,,Kotobank『後一条天皇』,,
t069,69 後朱雀天皇,敦良親王,tenno,male,imperial,1009,1045,,A_standard,,Kotobank『後朱雀天皇』,,
t070,70 後冷泉天皇,親仁親王,tenno,male,imperial,1025,1068,,A_standard,,Kotobank『後冷泉天皇』,,
t071,71 後三条天皇,尊仁親王,tenno,male,imperial,1034,1073,,A_standard,,Kotobank『後三条天皇』,,
t072,72 白河天皇,貞仁親王,tenno,male,imperial,1053,1129,,A_standard,,Kotobank『白河天皇』,,
t073,73 堀河天皇,善仁親王,tenno,male,imperial,1079,1107,,A_standard,,Kotobank『堀河天皇』,,
t074,74 鳥羽天皇,宗仁親王,tenno,male,imperial,1103,1156,,A_standard,,Kotobank『鳥羽天皇』,院政期の中心人物,院政期の中心人物
t075,75 崇徳天皇,顕仁親王,tenno,male,imperial,1119,1164,,A_standard,,Kotobank『崇徳天皇』,,
t076,76 近衛天皇,体仁親王,tenno,male,imperial,1139,1155,,A_standard,,Kotobank『近衛天皇』,,
t077,77 後白河天皇,雅仁親王,tenno,male,imperial,1127,1192,,A_standard,,Kotobank『後白河天皇』,,
t078,78 二条天皇,守仁親王,tenno,male,imperial,1143,1165,,A_standard,,Kotobank『二条天皇』,,
t079,79 六条天皇,順仁親王,tenno,male,imperial,1164,1176,,A_standard,,Kotobank『六条天皇』,,
t080,80 高倉天皇,憲仁親王,tenno,male,imperial,1161,1181,,A_standard,,Kotobank『高倉天皇』,,
t081,81 安徳天皇,言仁親王,tenno,male,imperial,1178,1185,,A_standard,,Kotobank『安徳天皇』,,
t082,82 後鳥羽天皇,尊成親王,tenno,male,imperial,1180,1239,,A_standard,,Kotobank『後鳥羽天皇』,,
t083,83 土御門天皇,為仁親王,tenno,male,imperial,1195,1231,,A_standard,,Kotobank『土御門天皇』,,
t084,84 順徳天皇,守成親王,tenno,male,imperial,1197,1242,,A_standard,,Kotobank『順徳天皇』,,
t085,85 仲恭天皇,懐成親王,tenno,male,imperial,1218,1234,,A_standard,,Kotobank『仲恭天皇』,,
t086,86 後堀河天皇,茂仁王,tenno,male,imperial,1212,1234,,A_standard,,Kotobank『後堀河天皇』,,
t087,87 四条天皇,秀仁親王,tenno,male,imperial,1231,1242,,A_standard,,Kotobank『四条天皇』,,
p_morisada,守貞親王,,prince,male,imperial,1179,1223,,A_standard,,1179–1223。鎌倉時代の親王。高倉天皇の皇子、安徳天皇の異母弟。承久の乱後、子の茂仁親王が後堀河天皇として即位したため、自らは即位せず太上法皇（後高倉院）として院政を行った。v3.64で誤って後鳥羽天皇皇子としていた系譜エッジ・noteを修正。,高倉天皇皇子・安徳天皇異母弟・後堀河天皇父,高倉天皇皇子・安徳天皇異母弟・後堀河天皇父
t088,88 後嵯峨天皇,邦仁親王,tenno,male,imperial,1220,1272,,A_standard,,Kotobank『後嵯峨天皇』,持明院統・大覚寺統分立の起点,持明院統・大覚寺統分立の起点
t089,89 後深草天皇,久仁親王,tenno,male,imperial,1243,1304,,A_standard,,Kotobank『後深草天皇』,,
t090,90 亀山天皇,恒仁親王,tenno,male,imperial,1249,1305,,A_standard,,Kotobank『亀山天皇』,,
t091,91 後宇多天皇,世仁親王,tenno,male,imperial,1267,1324,,A_standard,,Kotobank『後宇多天皇』,,
t092,92 伏見天皇,煕仁親王,tenno,male,imperial,1265,1317,,A_standard,,Kotobank『伏見天皇』,,
t093,93 後伏見天皇,胤仁親王,tenno,male,imperial,1288,1336,,A_standard,,Kotobank『後伏見天皇』,持明院統の祖,持明院統の祖
tn001,北1 光厳天皇,量仁親王,tenno,male,imperial,1313,1364,,A_standard,,Kotobank『光厳天皇』,北朝第1代,北朝第1代
tn002,北2 光明天皇,豊仁親王,tenno,male,imperial,1321,1380,,A_standard,,Kotobank『光明天皇』,北朝第2代,北朝第2代
t094,94 後二条天皇,邦治親王,tenno,male,imperial,1285,1308,,A_standard,,Kotobank『後二条天皇』,,
t095,95 花園天皇,富仁親王,tenno,male,imperial,1297,1348,,A_standard,,Kotobank『花園天皇』,,
t096,96 後醍醐天皇,尊治親王,tenno,male,imperial,1288,1339,,A_standard,,Kotobank『後醍醐天皇』,,
t097,97 後村上天皇,憲良親王・義良親王,tenno,male,imperial,1328,1368,,A_standard,,Kotobank『後村上天皇』,南朝第2代,南朝第2代
t098,98 長慶天皇,寛成親王,tenno,male,imperial,1343,1394,,A_standard,,Kotobank『長慶天皇』,南朝第3代,南朝第3代
t099,99 後亀山天皇,熙成親王,tenno,male,imperial,,1424,,B_partial_or_disputed,birth_unrecorded;disputed_birth,Kotobank『後亀山天皇』：生年は1350年? とされるためbirth_yearは不詳扱い,南朝第4代,南朝第4代
tn003,北3 崇光天皇,興仁親王,tenno,male,imperial,1334,1398,,A_standard,,Kotobank『崇光天皇』,伏見宮家の男系祖先,伏見宮家の男系祖先
tn004,北4 後光厳天皇,弥仁親王,tenno,male,imperial,1338,1374,,A_standard,,Kotobank『後光厳天皇』,北朝第4代,北朝第4代
tn005,北5 後円融天皇,緒仁親王,tenno,male,imperial,1358,1393,,A_standard,,Kotobank『後円融天皇』,北朝第5代,北朝第5代
t100,100 後小松天皇,幹仁親王,tenno,male,imperial,1377,1433,,A_standard,,Kotobank『後小松天皇』,,
t101,101 称光天皇,躬仁親王・実仁親王,tenno,male,imperial,1401,1428,,A_standard,,Kotobank『称光天皇』,,
t102,102 後花園天皇,彦仁親王,tenno,male,imperial,1419,1470,,A_standard,,Kotobank『後花園天皇』・宮内公文書館実録所在確認,,
t103,103 後土御門天皇,成仁親王,tenno,male,imperial,1442,1500,,A_standard,,Kotobank『後土御門天皇』・宮内公文書館実録所在確認,,
t104,104 後柏原天皇,勝仁親王,tenno,male,imperial,1464,1526,,A_standard,,Kotobank『後柏原天皇』,,
t105,105 後奈良天皇,知仁親王,tenno,male,imperial,1496,1557,,A_standard,,Kotobank『後奈良天皇』,,
t106,106 正親町天皇,方仁親王,tenno,male,imperial,1517,1593,,A_standard,,Kotobank『正親町天皇』,,
t107,107 後陽成天皇,和仁親王・周仁親王,tenno,male,imperial,1571,1617,,A_standard,,Kotobank『後陽成天皇』,,
t108,108 後水尾天皇,政仁親王,tenno,male,imperial,1596,1680,,A_standard,,Kotobank『後水尾天皇』,,
t109,109 明正天皇,興子内親王,female_tenno,female,imperial,1623,1696,,A_standard,,Kotobank『明正天皇』,,
t110,110 後光明天皇,紹仁親王,tenno,male,imperial,1633,1654,,A_standard,,Kotobank『後光明天皇』,,
t111,111 後西天皇,良仁親王,tenno,male,imperial,1637,1685,,A_standard,,Kotobank『後西天皇』,,
t112,112 霊元天皇,識仁親王,tenno,male,imperial,1654,1732,,A_standard,,Kotobank等で確認（年のみ）,,
p_fukuko_reigen,福子内親王,,princess,female,imperial,1676,1707,,A_standard,,Kotobank『福子内親王』,霊元天皇皇女・伏見宮貞建親王の母,霊元天皇皇女・伏見宮邦永親王妃・伏見宮貞建親王の母
u_kuninaga_fukuko,,,marriage,,,,,,,,,伏見宮邦永親王・福子内親王の婚姻等関係節点,伏見宮邦永親王・福子内親王の婚姻等関係節点
p_masahito_01,誠仁親王,陽光院,prince,male,imperial,1552,1586,,A_standard,,Kotobank『誠仁親王』,正親町天皇第一皇子・追尊天皇,正親町天皇第一皇子（即位前に急逝・追尊天皇）
t113,113 東山天皇,朝仁親王,tenno,male,imperial,1675,1710,,A_standard,,公開人物辞典で確認（年のみ）,閑院宮直仁親王の父,閑院宮初代直仁親王の父
t114,114 中御門天皇,慶仁親王,tenno,male,imperial,1702,1737,,A_standard,,Kotobank等で確認（年のみ）,,
t115,115 桜町天皇,昭仁親王,tenno,male,imperial,1720,1750,,A_standard,,Kotobankで確認（年のみ）,,
t116,116 桃園天皇,遐仁親王,tenno,male,imperial,1741,1762,,A_standard,,Kotobankで確認（年のみ）,,
t117,117 後桜町天皇,智子内親王,female_tenno,female,imperial,1740,1813,,A_standard,,Kotobankで確認（年のみ）,江戸時代最後の女性天皇,江戸時代最後の女性天皇
t118,118 後桃園天皇,英仁親王,tenno,male,imperial,1758,1779,,A_standard,,Kotobankで確認（年のみ）,22歳で崩御・光格天皇を猶子とする,22歳で崩御・光格天皇を猶子とする
t119,119 光格天皇,師仁親王・兼仁親王,tenno,male,imperial,1771,1840,,A_standard,,JapanKnowledge・宮内庁書陵部で確認（年のみ）,閑院宮家から皇位を継承,閑院宮家から皇位を継承
t120,120 仁孝天皇,恵仁親王,tenno,male,imperial,1800,1846,,A_standard,,Kotobankで確認（年のみ）,,
t121,121 孝明天皇,統仁親王,tenno,male,imperial,1831,1867,,A_standard,,Kotobankで確認（年のみ）,,
t122,122 明治天皇,睦仁親王,tenno,male,imperial,1852,1912,,A_standard,,Kotobankで確認（年のみ）,,
fushimi_001,伏見宮栄仁親王,,prince,male,imperial,1351,1416,,A_standard,,Kotobank『栄仁親王』,崇光天皇第一皇子・伏見宮初代,崇光天皇第一皇子・伏見宮初代
fushimi_002,伏見宮治仁王,,prince,male,imperial,1381,1417,,A_standard,,Kotobank『治仁王』,貞成親王の同母兄・伏見宮第2代,貞成親王の同母兄・伏見宮第2代
fushimi_003,伏見宮貞成親王,後崇光院,prince,male,imperial,1372,1456,,A_standard,,Kotobank『貞成親王』,後花園天皇の実父・伏見宮第3代,後花園天皇の実父・伏見宮第3代
fushimi_004,伏見宮貞常親王,,prince,male,imperial,1425,1474,,A_standard,,Kotobank『貞常親王』,貞成親王第二男子・伏見宮第4代,貞成親王第二男子・伏見宮第4代
fushimi_005,伏見宮邦高親王,,prince,male,imperial,1456,1532,,A_standard,,Kotobank『邦高親王』,貞常親王第一男子・伏見宮第5代,貞常親王第一男子・伏見宮第5代
fushimi_006,伏見宮貞敦親王,,prince,male,imperial,1488,1572,,A_standard,,Kotobank『貞敦親王』,邦高親王第一男子・伏見宮第6代,邦高親王第一男子・伏見宮第6代
fushimi_007,伏見宮邦輔親王,,prince,male,imperial,1513,1563,,A_standard,,Kotobank『邦輔親王』,貞敦親王第一男子・伏見宮第7代,貞敦親王第一男子・伏見宮第7代
fushimi_008,伏見宮貞康親王,,prince,male,imperial,1547,1568,,A_standard,,Kotobank『貞康親王』,邦輔親王第三男子・伏見宮第8代,邦輔親王第三男子・伏見宮第8代
fushimi_009,伏見宮邦房親王,,prince,male,imperial,1566,1622,,A_standard,,Kotobank『邦房親王』,貞康親王第一男子・伏見宮第9代,貞康親王第一男子・伏見宮第9代
fushimi_010,伏見宮貞清親王,,prince,male,imperial,1596,1654,,A_standard,,Kotobank『貞清親王』,邦房親王第一男子・伏見宮第10代,邦房親王第一男子・伏見宮第10代
fushimi_011,伏見宮邦尚親王,,prince,male,imperial,1613,1654,,A_standard,,Kotobank『邦尚親王』,貞清親王男子・伏見宮第11代・後継者なし,貞清親王男子・伏見宮第11代・後継者なし
fushimi_012,伏見宮邦道親王,,prince,male,imperial,1641,1654,,A_standard,,Kotobank『邦道親王』,貞清親王男子・伏見宮第12代・邦尚親王の異母弟・夭逝,貞清親王男子・伏見宮第12代・邦尚親王の異母弟・夭逝
fushimi_013,伏見宮貞致親王,,prince,male,imperial,1632,1694,,A_standard,,Kotobank『貞致親王』,貞清親王男子（出自に異説あり）・伏見宮第13代,貞清親王男子（出自に異説あり）・伏見宮第13代・後水尾天皇猶子
fushimi_014,伏見宮邦永親王,,prince,male,imperial,1676,1726,,C_secondary_genealogy,,早稲田大学古典籍総合DB・公開系譜照合 v3.60最終C監査: 歴史史料本文の直接確認待ちとしてCを維持する。民間人物の探索打ち止めとは別扱い。,貞致親王第二男子・伏見宮第14代,貞致親王第二男子・伏見宮第14代・霊元天皇猶子
fushimi_015,伏見宮貞建親王,,prince,male,imperial,1701,1754,,A_standard,,Kotobank『貞建親王』,邦永親王第三男子・伏見宮第15代,邦永親王第三男子・伏見宮第15代・東山天皇猶子
fushimi_016,伏見宮邦忠親王,,prince,male,imperial,1732,1759,,C_secondary_genealogy,,公開系譜照合 v3.60最終C監査: 歴史史料本文の直接確認待ちとしてCを維持する。民間人物の探索打ち止めとは別扱い。,貞建親王第一男子・伏見宮第16代・後継者なし,貞建親王第一男子・伏見宮第16代・桜町天皇猶子・後継者なし
fushimi_017,伏見宮貞行親王,,prince,male,imperial,1760,1772,,A_standard,,Kotobank『貞行親王』,桃園天皇第二皇子・伏見宮第17代,桃園天皇第二皇子・邦忠親王薨去後に伏見宮を継承・夭逝
fushimi_018,伏見宮邦頼親王,,prince,male,imperial,1733,1802,,A_standard,,Kotobank『邦頼親王』,貞建親王第二男子・伏見宮第18代,貞建親王第二男子・伏見宮第18代・桜町天皇猶子
fushimi_019,伏見宮貞敬親王,,prince,male,imperial,1776,1841,,A_standard,,Kotobank『貞敬親王』,邦頼親王第一男子・伏見宮第19代,邦頼親王第一男子・伏見宮第19代・後桃園天皇猶子
fushimi_020,伏見宮邦家親王,,prince,male,imperial,1802,1872,,A_standard,,Kotobank『邦家親王』,伏見宮第20代・旧11宮家の男系共通祖・香淳皇后の父系祖,伏見宮第20代・光格天皇猶子・旧11宮家の男系共通祖・香淳皇后の父系祖
shogoin_001,聖護院宮嘉言親王,,prince,male,imperial,1821,1868,,A_standard,,幕末の皇族。伏見宮邦家親王の王子。聖護院門跡となり、王政復古後に還俗して内国事務総督・海軍総督などを務めた。1821–1868を通常年代として収録する。,邦家親王第二男子・聖護院宮初代,邦家親王第二男子・聖護院宮初代
komatsu_001,小松宮彰仁親王,仁和寺宮嘉彰親王,prince,male,imperial,1846,1903,,A_standard,,幕末・明治時代の皇族・軍人。伏見宮邦家親王の王子。嘉彰親王、東伏見宮を経て小松宮彰仁親王となり、陸軍大将・元帥を務めた。1846–1903を通常年代として収録する。,邦家親王第八男子・小松宮初代,邦家親王第八男子・小松宮初代・仁孝天皇養子
kacho_001,華頂宮博経親王,,prince,male,imperial,1851,1876,,A_standard,,幕末・明治時代の皇族・軍人。伏見宮邦家親王の王子で華頂宮初代。知恩院門跡から還俗し、皇族として早期に海外留学した。1851–1876を通常年代として収録する。,邦家親王第十二男子・華頂宮初代,邦家親王第十二男子・華頂宮初代・孝明天皇猶子
fushimi_021,伏見宮貞教親王,,prince,male,imperial,1836,1862,,A_standard,,Kotobank『貞教親王』,邦家親王第六男子・伏見宮第21代,邦家親王第六男子・伏見宮第21代・仁孝天皇猶子
fushimi_022,伏見宮貞愛親王,,prince,male,imperial,1858,1923,,A_standard,,Kotobank『伏見宮貞愛親王』,邦家親王第十四男子・伏見宮第22代・のち再継承,邦家親王第十四男子・伏見宮第22代・孝明天皇養子・貞教親王猶子・のち再継承
